Time,Ch1_Voltage,Ch2_Voltage

-0.51427400,-1.07211500,0.59337140
-0.18659400,-0.35737170,0.62920010
0.14108600,0.26764730,0.67400130
0.46876600,0.98208560,0.70986050
0.79644599,1.60741000,0.73674730
1.12412599,2.23273400,0.75466170
1.45180599,2.94717200,0.77257610
1.77948599,3.57249700,0.76363410
2.10716599,4.10840200,0.75466170
2.43484598,4.64430700,0.72777490
2.76252598,5.09109800,0.68297370
3.09020598,5.53758300,0.62022770
3.41788598,5.89495500,0.54853970
3.74556598,6.34144100,0.46790980
4.07324597,6.60939400,0.37827690
4.40092597,6.78823200,0.27072970
4.72860597,6.96676500,0.17215490
5.05628597,7.05618500,0.06463820
5.38396597,6.96676500,-0.02496414
5.71164596,6.78823200,-0.07873775
6.03932596,6.52027900,-0.11456650
6.36700596,6.16290800,-0.16834010
6.69468596,5.80553600,-0.20419930
7.02236596,5.44816400,-0.24900050
7.35004595,4.91225900,-0.30277410
7.67772595,4.37635400,-0.33860290
8.00540595,3.84044900,-0.38340400
8.33308595,3.12601100,-0.43717770
8.66076595,2.50068700,-0.48197880
8.98844594,1.87536200,-0.52681050
9.31612594,1.16061900,-0.57161170
9.64380594,0.44618060,-0.62538530
9.97148594,-0.17883850,-0.66121410
10.29916594,-0.80416270,-0.69707330
10.62684593,-1.51860100,-0.72396010
10.95452593,-2.23334500,-0.75084690
11.28220593,-2.85866900,-0.75978880
11.60988593,-3.39457400,-0.76876130
11.93756593,-4.01959300,-0.75978880
12.26524592,-4.55580300,-0.73290200
12.59292592,-5.00228900,-0.68810080
12.92060592,-5.44877500,-0.64329960
13.24828592,-5.80614700,-0.57161170
13.57596592,-6.16351800,-0.49095130
13.90364591,-6.43147100,-0.41029080
14.23132591,-6.69942300,-0.31171600
14.55900591,-6.78884200,-0.20419930
14.88668591,-6.87795600,-0.09665212
15.21436591,-6.87795600,-0.00701926
15.54204591,-6.69942300,0.05566576
15.86972590,-6.52089000,0.10046690
16.19740590,-6.25293700,0.14526810
16.52508590,-5.80614700,0.19009980
16.85276590,-5.44877500,0.23490100
17.18044590,-5.00228900,0.27970210
17.50812589,-4.46638400,0.33347570
17.83580589,-3.84106000,0.37827690
18.16348589,-3.30515500,0.43205050
18.49116589,-2.67983000,0.47685170
18.81884589,-2.05450600,0.52165290
19.14652588,-1.34006800,0.56648460
19.47420588,-0.62532420,0.62022770
19.80188588,-0.00030519,0.65608690
20.12956588,0.71413310,0.69194610
